Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Габелко,Роксолана,Олексіївна,Жінка,1947-12-17,Нотаріус,село Сімферополь,"парк Новосельского, буд. 4, Ірміно, 88408",+380 82 193 60 44,zaikazorian@example.org
Зайченко,Ярина,Григорівна,Жінка,1948-08-14,Електромонтер,селище Керч,"шосе Красний, буд. 996 кв. 030, Луганськ, 41626",+380 (39) 301-63-57,csomko@example.com
Артим,Мілена,Іванівна,Жінка,1968-06-07,Патологоанатом,селище Остер,"набережна Студентський 2-й, буд. 5 кв. 7, Городище, 89003",053 663-03-08,ciermolenko@example.com
Дуплій,Людмила,Миколаївна,Жінка,1972-05-07,Електрик,селище Миколаїв,"набережна Балтський 5-й, буд. 66, Нове Давидково, 32608",+380 34 424-17-06,hkorzh@example.net
Заруба,Альбіна,Григорівна,Жінка,2006-04-01,Нотаріус,хутір Слов'янськ,"площа Лиманний, буд. 388, Кодима, 67210",+380 39 833-38-12,volodymyr34@example.com
Гавриш,Аліна,Євгенівна,Жінка,2004-08-25,Хімік,селище Костопіль,"узвіз Косовський, буд. 7 кв. 572, Монастирище, 19622",+380 65 565-95-71,xishchak@example.net
Яременко,Оксана,Тимофіївна,Жінка,1955-11-21,Реставратор,місто Сіверськодонецьк,"парк Південно-Санаторний, буд. 575 кв. 40, Тисмениця, 79283",+380 81 509-13-21,roman57@example.net
Нестайко,Оксана,Тимофіївна,Жінка,1947-09-05,Стоматолог,місто Копичинці,"вулиця Томатна, буд. 2, Бровари, 10721",223-01-23,frants57@example.org
Дубина,Марія,Богданівна,Жінка,1951-06-20,Промисловець,місто Алчевськ,"вулиця Острозька, буд. 1 кв. 771, Надвірна, 17215",073 747 75 77,nadiia72@example.com
Щербань,Надія,Арсеніївна,Жінка,1956-06-07,Золотар,місто Дубляни,"шосе Радісна, буд. 6 кв. 290, Переяслав, 03751",093 672 04 61,babychenkoartem@example.org
Атаманюк,Орина,Іванівна,Жінка,1955-09-23,Археолог,село Умань,"площа Сьома, буд. 866, Бахмач, 98706",054 36 20,vakulenkoopanas@example.org
Захаренко,Галина,Юріївна,Жінка,2005-12-02,Головний меркшейдер,місто Вознесенівка,"вулиця Горизонтальна, буд. 26 кв. 302, Буринь, 04532",+380 09 177 46 82,solomiia50@example.org
Андрієнко,Надія,Євгенівна,Жінка,2004-04-12,Швачка,місто Бершадь,"парк Тупиковий 2-й, буд. 346 кв. 404, Вараш, 24782",+380 (75) 881-62-21,haidenkovolodymyra@example.com
Іваненко,Галина,Петрівна,Жінка,1973-11-24,Продюсер,село Вінниця,"площа Перлинна, буд. 65, Христинівка, 96017",644 22 45,ruslanshylo@example.com
Василашко,Пріска,Петрівна,Жінка,1976-12-01,Різноробочий,селище Ананьїв,"шосе Прибережний, буд. 87 кв. 33, Белз, 08670",071 792-06-57,heorhii02@example.org
Свистун,Тетяна,Романівна,Жінка,1952-03-30,Ветеринар,село Бібрка,"вулиця Аеродромний 3-й, буд. 510 кв. 214, Тараща, 74015",412-19-40,teodorvernydub@example.com
Рубан,Анжела,Григорівна,Жінка,1959-04-16,Електромонтажник,село Кам'янка (Черкаська область),"набережна Транспортна, буд. 63, Ізюм, 58222",+380 64 486-95-40,rudkoiukhym@example.com
Власенко,Розалія,Андріївна,Жінка,1977-01-13,Нотаріус,хутір Дніпро,"сквер Ф. Пішеніна, буд. 34, Миколаїв, 57130",046 444 24 85,frankooleksa@example.com
Голобородько,Лілія,Сергіївна,Жінка,1955-12-13,Будник,місто Довжанськ,"проспект 13-та ст. Великого Фонтану пляж, буд. 14 кв. 9, Павлоград, 96680",028 752-82-70,gzhuravel@example.net
Артюшенко,Марина,Романівна,Жінка,2002-03-15,Будник,місто Буринь,"узвіз Листяна, буд. 714, Перечин, 76961",922-06-01,valentynbairak@example.com
Романець,Ада,Григорівна,Жінка,1970-11-22,Фармацевт,місто Вуглегірськ,"вулиця Старицького, буд. 9 кв. 1, Сарни, 98678",+380 91 896 97 02,terezaatamanchuk@example.org
Литвин,Ганна,Тимофіївна,Жінка,1975-05-13,Бізнесмен,місто Біла Церква,"провулок Ніни Строкатої, буд. 8, Татарбунари, 94250",+380 78 239 32 32,biarema@example.org
Бандурка,Емілія,Дмитрівна,Жінка,1961-03-11,Шериф,місто Валки,"узвіз Донецька, буд. 87 кв. 749, Семенівка, 65657",086 682-70-55,boryslavgerega@example.com
Даценко,Клавдія,Арсеніївна,Жінка,1975-02-12,Кінокритик,хутір Корсунь-Шевченківський,"проспект Андросовський, буд. 8, Кілія, 62833",163-41-13,hpanchuk@example.com
Нестайко,Віра,Олександрівна,Жінка,2000-01-02,Геофізик,хутір Носівка,"вулиця Ігоря Балмагії, буд. 35 кв. 03, Монастирище, 92856",075 378 13 56,parmenasaula@example.org
Тимченко,Златослава,Павлівна,Жінка,1950-11-02,Співак,хутір Армянськ,"вулиця Європейська, буд. 5 кв. 902, Моспине, 05693",590-96-18,zlatoslavadeisun@example.net
Ванченко,Одарка,Степанівна,Жінка,1962-04-05,Ветеринар,хутір Апостолове,"площа Регенсбург, буд. 706, Вишгород, 16046",+380 21 278-51-90,solomon48@example.org
Хомик,Оксенія,Дмитрівна,Жінка,1944-12-10,Няня,селище Бобринець,"шосе Мелітопольська, буд. 9, Городенка, 95662",389-30-00,priska84@example.org
Овсієнко,Святослава,Василівна,Жінка,2001-04-15,Нотаріус,селище Хуст,"сквер Контрадмірала Остроградського, буд. 838 кв. 6, Білопілля, 06968",+380 (14) 425-49-82,oleksadzhun@example.net
Баран,Анжела,Сергіївна,Жінка,1945-12-18,Мірошник,хутір Дергачі,"вулиця Дніпропетровська дорога, буд. 4 кв. 75, Судак, 56157",+380 56 265-72-68,zbabiuk@example.net
Хорішко,Лариса,Дмитрівна,Жінка,1950-02-02,Кіноактор,місто Хотин,"проспект Олександра Тимошенка, буд. 250, Стебник, 99807",+380 23 424-47-45,partymyshyn@example.net
Дзиндра,Едита,Тимофіївна,Жінка,1995-06-09,Співак,хутір Родинське,"сквер Шкодова гора, буд. 59 кв. 93, Яготин, 03889",047 884 37 22,makarbabiak@example.net
Баклан,Анжела,Іванівна,Жінка,1998-07-17,Слідчий,місто Хирів,"провулок Лінія 22-га, буд. 1 кв. 20, Южне, 99069",+380 53 764-55-60,fursvarfolomii@example.com
Зарудна,Мілена,Дмитрівна,Жінка,1955-04-23,Петрограф,селище Волочиськ,"сквер Затишна, буд. 034 кв. 8, Попасна, 87361",810 75 00,varfolomii67@example.net
Литвиненко,Едита,Миколаївна,Жінка,1983-04-23,Льотчик,хутір Чуднів,"провулок Героїв прикордонників, буд. 079, Бердянськ, 21644",+380 (98) 879-21-12,okhrimkarmaliuk@example.org
Шелест,Аніта,Павлівна,Жінка,1995-01-10,Візажист,село Берестечко,"сквер Садова 1-ша, буд. 047 кв. 1, Гайворон, 66886",069 30 54,leonartiukh@example.org
Примаченко,Марта,Арсеніївна,Жінка,2007-11-13,Співак,хутір Жданівка,"вулиця Миколи Плигуна, буд. 54 кв. 99, Сарни, 39011",+380 38 760-58-34,vlokhleon@example.net
Дацюк,Сніжана,Андріївна,Жінка,1984-11-20,Гицель,місто Верхньодніпровськ,"узвіз Агрономічний, буд. 808 кв. 2, Павлоград, 11095",+380 63 123-25-78,ieva27@example.org
Деревʼянко,Ірина,Степанівна,Жінка,1939-05-25,Різноробочий,місто Новоазовськ,"шосе Героїв Крут, буд. 1, Зугрес, 87004",+380 54 146-80-46,makaratroshchenko@example.net
Годунок,Клавдія,Степанівна,Жінка,1943-07-29,Історик,хутір Буринь,"площа Лінія 55-та, буд. 863, Кролевець, 80359",058 941 82 51,olehiakovenko@example.org
Акуленко,Христина,Володимирівна,Жінка,2008-08-29,Геофізик,селище Бережани,"шосе Гоголя, буд. 18 кв. 63, Коростишів, 07372",962-20-11,fedirdeineko@example.org
